Unnamed: 0,id,author,published_at,updated_at,like_count,sentiment_score,text,labeled_status,unique_tokens,token_count,compound_score,positive_score,negative_score,neutral_score
0,0,swarnilakarmakar6585,2024-07-08,2024-07-08,0,-0.589474,hello sir i have tried through the methods u had showed in the do to get the it channel id but i was unable to get the id by that process please help me with this,neg,"['showed', 'hello', 'methods', 'sir', 'unable', 'please', 'get', 'id', 'process', 'u', 'help', 'tried', 'channel']",13,0.7579,0.173,0.0,0.827
1,1,anjumaurya5603,2024-07-08,2024-07-08,0,-0.850589,i am getting key error for the commentcount column i have check the code many times but still it don't resolved please any one let me know how to resolve it,neg,"['still', 'resolved', 'let', 'code', 'getting', 'please', 'key', 'error', 'many', 'know', 'commentcount', 'check', 'column', 'resolve', 'one', 'times']",16,-0.1705,0.099,0.176,0.725
2,2,DanyalTipu,2024-07-05,2024-07-05,0,-0.49801853,can someone tell me from where i can get the source code blog given in description is unavailable,neutral,"['code', 'source', 'get', 'given', 'unavailable', 'tell', 'description', 'blog', 'someone']",9,0.0,0.0,0.0,1.0
3,3,ayushjaiswal350,2024-07-03,2024-07-03,0,0.98241925,this is good,pos,['good'],1,0.4404,0.592,0.0,0.408
4,4,ChristinaK-r6n,2024-06-27,2024-06-27,0,0.9859156,thank you for putting this together it was super helpful for me,pos,"['super', 'thank', 'putting', 'together', 'helpful']",5,0.8481,0.505,0.0,0.495
5,5,saloni1148,2024-06-16,2024-06-16,0,0.19567885,can i do this project on googly colas,neutral,"['colas', 'googly', 'project']",3,0.0,0.0,0.0,1.0
6,6,bose19942,2024-06-05,2024-06-05,0,0.9778347,thank you for this video,pos,"['video', 'thank']",2,0.3612,0.385,0.0,0.615
7,7,swarnimsrijan7470,2024-05-16,2024-05-16,0,0.98379534,what a brilliant lecture really impressed by you sir thanks for helping out i the journey,pos,"['thanks', 'really', 'sir', 'brilliant', 'helping', 'lecture', 'journey', 'impressed']",8,0.9061,0.551,0.0,0.449
8,8,deepasinghal4729,2024-05-13,2024-05-13,0,-0.12183101,followed till 18:14 no error returned nothing,neutral,"['error', 'followed', 'nothing', 'returned', 'till']",5,-0.5994,0.0,0.495,0.505
9,9,rahulrajeev9763,2024-04-27,2024-04-27,0,0.985799,thank you so much for this stuff,pos,"['much', 'stuff', 'thank']",3,0.3612,0.294,0.0,0.706
10,10,mohdsaqib3241,2024-04-27,2024-04-27,0,-0.8735465,project link not working,neg,"['link', 'project', 'working']",3,0.0,0.0,0.0,1.0
11,11,yankoshuan6225,2024-04-20,2024-04-20,0,-0.6445619,i get only this out from son formatter techtfq can i continue the project i think i might will be missing most of the important stuff,neg,"['might', 'continue', 'project', 'get', 'stuff', 'formatter', 'important', 'son', 'missing', 'techtfq', 'think']",11,-0.0352,0.085,0.091,0.824
12,12,user-uv5lr7bk8n,2024-04-18,2024-04-18,0,0.93145216,for a non-tech background like me your tutorial is super easy to follow,pos,"['background', 'easy', 'follow', 'super', 'like', 'tutorial']",6,0.8519,0.508,0.0,0.492
13,13,najam00717,2024-04-01,2024-04-01,0,-0.6600635,why the son is not showing likes ?,neg,"['likes', 'showing', 'son']",3,-0.3252,0.0,0.28,0.72
14,14,Abutturab,2024-03-28,2024-03-28,0,0.43924892,top !,neutral,['top'],1,0.2714,1.0,0.0,0.0
15,15,ryang8192,2024-03-21,2024-03-21,1,-0.068803795,hello i want to ask how to receive video data from youtube?,neutral,"['hello', 'receive', 'youtube', 'want', 'video', 'ask', 'data']",7,0.0772,0.115,0.0,0.885
16,16,VARUNKUMAR-dj6mi,2024-03-04,2024-03-04,0,-0.38621366,"54:45 in my scrapping i didn't have snippet , title name and likes and views in this only showing video it'd and published date please any one help me tomorrow i have interview",neutral,"['title', 'likes', 'please', 'snippet', 'tomorrow', 'date', 'help', 'interview', 'scrapping', 'views', 'name', 'video', 'published', 'showing', 'one']",15,0.7783,0.224,0.0,0.776
17,17,VARUNKUMAR-dj6mi,2024-03-04,2024-03-04,0,-0.22150673,"54:45 in my scrapping i didn't have snippet , title name and likes and views in this only showing video it'd and published date please any one 54:45 help me tomorrow i have interview",neutral,"['title', 'likes', 'please', 'snippet', 'tomorrow', 'date', 'help', 'interview', 'scrapping', 'views', 'name', 'video', 'published', 'showing', 'one']",15,0.7783,0.218,0.0,0.782
